Topic,Biden,Trump
Covid,https://joebiden.com/covid19-leadership/,https://www.whitehouse.gov/briefings-statements/president-trumps-historic-coronavirus-response/
Climate Change,https://joebiden.com/climate-plan/,https://www.promiseskept.com/achievement/overview/energy-and-environment/
Immigration,https://joebiden.com/immigration/,https://www.promiseskept.com/achievement/overview/immigration/
Clean Energy,https://joebiden.com/clean-energy/,https://www.whitehouse.gov/articles/president-trumps-great-environmental-progress/
Foreign Policy,https://joebiden.com/americanleadership/,https://www.promiseskept.com/achievement/overview/foreign-policy/
Reopening Schools,https://joebiden.com/school-reopening/,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-supporting-americas-students-families-encouraging-safe-reopening-americas-schools/
National Security/Military,"RENEW AMERICAN LEADERSHIP TO MOBILIZE GLOBAL ACTION ON GLOBAL THREATS
The world does not organize itself. American leadership, backed by clear goals and sound strategies, is necessary to effectively address the defining global challenges of our time. In order to lead again, we must restore our credibility and influence. From day one of a Biden administration, other countries will once again have reason to trust and respect the word of an American president. Working together, democracies can and must confront the rise of populists, nationalists, and demagogues; the growing strength of autocratic powers and their efforts to divide and manipulate democracies; and the threats unique to our time, including the renewed threat of nuclear war, mass migration, the disruptive impact of new technologies, and climate change.

Defend our Vital Interests: As president, Biden will never hesitate to protect the American people, including when necessary, by using force. We have the strongest military in the world—and as president, Biden will ensure it stays that way. The Biden administration will make the investments necessary to equip our troops for the challenges of the next century, not the last one. But the use of force should be our last resort, not our first—used only to defend our vital interests, when the objective is clear and achievable, and with the informed consent of the American people. 

End Forever Wars: Biden will end the forever wars in Afghanistan and the Middle East, which have cost us untold blood and treasure. As he has long argued, Biden will bring the vast majority of our troops home from Afghanistan and narrowly focus our mission on Al-Qaeda and ISIS. And he will end our support for the Saudi-led war in Yemen. Staying entrenched in unwinnable conflicts only drains our capacity to lead on other issues that require our attention, and it prevents us from rebuilding the other instruments of American power.

Elevate Diplomacy: As president, Biden will elevate diplomacy as the premier tool of our global engagement. He will rebuild a modern, agile U.S. Department of State—investing in and re-empowering the finest diplomatic corps in the world and leveraging the full talent and richness of America’s diversity. Working cooperatively with other nations makes us more secure and more successful. For example, as president, Biden will launch a top-to-bottom review of our funding to Central America to determine how we can build on a successful initiative from the Obama-Biden administration that secured concrete commitments from the leaders of El Salvador, Guatemala, and Honduras to take on the corruption, violence, and endemic poverty that drive migration. 

Restore and Reimagine Partnerships: A Biden administration will do more than restore our historic partnerships; it will lead the effort to reimagine them for the future. This means keeping NATO’s military capabilities sharp, while also expanding our capacity to take on new, non-traditional threats like weaponized corruption, cyber theft, and new challenges in space and on the high seas; calling on all NATO nations to recommit to their responsibilities as members of a democratic alliance; and strengthening cooperation with democratic partners beyond North America and Europe by reaching out to our partners in Asia to fortify our collective capabilities and integrating our friends in Latin America and Africa. When the United States hosts the next Summit of the Americas in 2021, President Biden will harness this opportunity to rebuild strong hemispheric ties based on respect for democracy, human rights, and the rule of law. We will also strengthen our alliances with Japan, South Korea, Australia and other Asian democracies, while sustaining an ironclad commitment to Israel’s security.

Renew our Commitment to Arms Control for a New Era: 

The historic Iran nuclear deal, negotiated by the Obama-Biden administration alongside our allies and other world powers, blocked Iran from getting a nuclear weapon. Yet Trump decided to cast it aside, prompting Iran to restart its nuclear program and become more provocative, bringing the region to the cusp of another disastrous war. If Tehran returns to compliance with the deal, President Biden would re-enter the agreement, using hard-nosed diplomacy and support from our allies to strengthen and extend it, while more effectively pushing back against Iran’s other destabilizing activities. 
In North Korea, President Biden will empower our negotiators and jump start a sustained, coordinated campaign with our allies and others, including China, to advance our shared objective of a denuclearized North Korea. 
As president, Biden will pursue an extension of the New START Treaty, an anchor of strategic stability between the United States and Russia, and use that as a foundation for new arms control arrangements. 
President Biden would take other steps to demonstrate our commitment to reducing the role of nuclear weapons. As he said in 2017, Biden believes the sole purpose of the U.S. nuclear arsenal should be deterring—and if necessary, retaliating against—a nuclear attack. As president, he will work to put that belief into practice, in consultation with our allies and military. ",https://www.promiseskept.com/achievement/overview/national-security-and-defense/
Police/Law Enforcement,https://joebiden.com/justice/,https://www.promiseskept.com/achievement/overview/law-and-justice/
Senior Citizens,https://joebiden.com/older-americans/,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-remains-committed-caring-nations-seniors-coronavirus-pandemic-beyond/
Education,https://joebiden.com/education/,https://www.promiseskept.com/achievement/overview/education/
Economy and Jobs,https://joebiden.com/build-back-better/,https://www.promiseskept.com/achievement/overview/economy-and-jobs/
Veterans,https://joebiden.com/veterans/,https://www.promiseskept.com/achievement/overview/veterans/
